,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,0.8547008547008547,0.8536585365853658,0.8557457212713936,0.8547008547008547,0.9342507006977161
Gradient Boosting,0.8534798534798534,0.851581508515815,0.8557457212713936,0.8536585365853658,0.9350110322619118
XGBoost,0.8412698412698413,0.8513853904282116,0.8264058679706602,0.8387096774193549,0.9297602719303477
