player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Aris Patiniotis,ITA,34,714,2024,no verified account,no verified account,no verified account,no verified account,no verified account,63
Cristian Gutierrez,ARG,33,781,2024,no verified account,no verified account,no verified account,no verified account,no verified account,64
Jose Solano Marmolejo,ESP,32,811,2024,no verified account,no verified account,no verified account,no verified account,no verified account,65
Marcos Gonzalez Blanco,ESP,32,3,2024,no verified account,no verified account,no verified account,no verified account,no verified account,66
Sergio Nieto Simon,ESP,31,115,2024,no verified account,no verified account,no verified account,no verified account,no verified account,67
Luis Hernandez Quesada,ESP,30,806,2024,no verified account,no verified account,no verified account,no verified account,no verified account,68
Javier Valdes,CHL,29,990,2024,no verified account,no verified account,no verified account,no verified account,no verified account,69
Pepe Aliaga,ESP,29,164,2024,no verified account,no verified account,no verified account,no verified account,no verified account,70
Miguel Benitez Lara,ESP,28,921,2024,no verified account,no verified account,no verified account,no verified account,no verified account,71
Nicolas Suescun,ITA,28,329,2024,no verified account,no verified account,no verified account,no verified account,no verified account,72
Denis Tomas Perino,ITA,27,758,2024,no verified account,no verified account,no verified account,no verified account,no verified account,73
Pedro Araujo,PRT,27,308,2024,no verified account,no verified account,no verified account,no verified account,no verified account,74
Antonio Fernandez,ESP,26,843,2024,no verified account,no verified account,no verified account,no verified account,no verified account,75
Flavio Abbate,ITA,26,276,2024,no verified account,no verified account,no verified account,no verified account,no verified account,76
Lorenzo Di Giovanni,ITA,25,348,2024,no verified account,no verified account,no verified account,no verified account,no verified account,77
Nuno Deus,PRT,24,297,2024,no verified account,no verified account,no verified account,no verified account,no verified account,78
Ferran Insa Sotillo,ESP,23,237,2024,no verified account,no verified account,no verified account,no verified account,no verified account,79
Pablo Garcia Rodrigo,ESP,22,955,2024,no verified account,no verified account,no verified account,no verified account,no verified account,80
Carlos Perez Cabeza,ESP,22,329,2024,no verified account,no verified account,no verified account,no verified account,no verified account,81
Ramiro Jesus Valenzuela,ARG,20,452,2024,no verified account,no verified account,no verified account,no verified account,no verified account,82
Candido Jorge Alfaro,ESP,19,484,2024,no verified account,no verified account,no verified account,no verified account,no verified account,83
Jerome Inzerillo,FRA,18,143,2024,no verified account,no verified account,no verified account,no verified account,no verified account,84
Marco Cassetta,ITA,17,478,2024,no verified account,no verified account,no verified account,no verified account,no verified account,85
Henrique Barbosa,PRT,16,624,2024,no verified account,no verified account,no verified account,no verified account,no verified account,86
Eduardo Herrero Del Riego,ESP,15,351,2024,no verified account,no verified account,no verified account,no verified account,no verified account,87
Jose Roman Martinez Sanchis,ESP,14,401,2024,no verified account,no verified account,no verified account,no verified account,no verified account,88
Ricardo Martinez Sanchez,ESP,13,283,2024,no verified account,no verified account,no verified account,no verified account,no verified account,89
Martin Jose Reyes Martin,ESP,13,1,2024,no verified account,no verified account,no verified account,no verified account,no verified account,90
JesÃºs Moya Sos,ESP,12,324,2024,no verified account,no verified account,no verified account,no verified account,no verified account,91
Matteo Mancini,ITA,12,12,2024,no verified account,no verified account,no verified account,no verified account,no verified account,92
Clement Geens,BEL,11,383,2024,no verified account,no verified account,no verified account,no verified account,no verified account,93
Juan Cruz Forastello,ARG,11,21,2024,no verified account,no verified account,no verified account,no verified account,no verified account,94
Thomas Leygue,FRA,10,419,2024,no verified account,no verified account,no verified account,no verified account,no verified account,95
Sergio Esteban Barroso,ESP,10,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,96
Alvaro Montiel Caruso,ESP,9,363,2024,no verified account,no verified account,no verified account,no verified account,no verified account,97
Alvaro Lopez Luque,ESP,9,27,2024,no verified account,no verified account,no verified account,no verified account,no verified account,98
Ignacio Piotto Albornoz,ARG,8,553,2024,no verified account,no verified account,no verified account,no verified account,no verified account,99
Pier Giulio Farabbi,ITA,8,49,2024,no verified account,no verified account,no verified account,no verified account,no verified account,100
Miguel Gonzalez,ESP,7,578,2024,no verified account,no verified account,no verified account,no verified account,no verified account,101
Diego GarcÃ­a,ESP,7,46,2024,no verified account,no verified account,no verified account,no verified account,no verified account,102
Toni Bueno,ESP,6,640,2024,no verified account,no verified account,no verified account,no verified account,no verified account,103
Ruben Cuevas Tornero,ESP,6,67,2024,no verified account,no verified account,no verified account,no verified account,no verified account,104
Guillermo Collado Losada,ESP,5,661,2024,no verified account,no verified account,no verified account,no verified account,no verified account,105
Sergi Guimet Bigas,ESP,5,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,106
David Gala Sanchez,ESP,4,610,2024,no verified account,no verified account,no verified account,no verified account,no verified account,107
Rodrigo Coello Manso,ESP,4,92,2024,no verified account,no verified account,no verified account,no verified account,no verified account,108
