player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Alejandro Ruiz Granados,ESP,8610,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,451
Juan Tello,ARG,5330,10,2023,64645,18958,13468,14878,3038,452
Alejandro Ruiz Granados,ESP,5175,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,453
Juan Tello,ARG,5870,10,2023,64645,18958,13468,14878,3038,454
Miguel Yanguas,ESP,5175,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,455
Fernando Belasteguin,ARG,5870,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,456
Miguel Yanguas,ESP,5175,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,457
Fernando Belasteguin,ARG,5870,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,458
Miguel Yanguas,ESP,5175,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,459
Fernando Belasteguin,ARG,5870,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,460
Miguel Yanguas,ESP,1753,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,461
Fernando Belasteguin,ARG,9060,4,2023,no verified account,no verified account,no verified account,no verified account,no verified account,462
Jeronimo Gonzalez,ESP,1753,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,463
Carlos Daniel Gutierrez,ARG,9060,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,464
Jeronimo Gonzalez,ESP,1753,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,465
Carlos Daniel Gutierrez,ARG,9060,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,466
Jeronimo Gonzalez,ESP,1753,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,467
Carlos Daniel Gutierrez,ARG,9060,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,468
Jeronimo Gonzalez,ESP,4700,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,469
Carlos Daniel Gutierrez,ARG,5870,10,2023,no verified account,no verified account,no verified account,no verified account,no verified account,470
Agustin Silingo,ARG,4700,9,2023,no verified account,no verified account,no verified account,no verified account,no verified account,471
Pablo Lima,BRA,5870,9,2023,43162,6746,43312,5357,4021,472
Agustin Silingo,ARG,4700,9,2023,no verified account,no verified account,no verified account,no verified account,no verified account,473
Pablo Lima,BRA,5870,9,2023,43162,6746,43312,5357,4021,474
Agustin Silingo,ARG,4700,9,2023,no verified account,no verified account,no verified account,no verified account,no verified account,475
Pablo Lima,BRA,5870,9,2023,43162,6746,43312,5357,4021,476
Agustin Silingo,ARG,1957,9,2023,no verified account,no verified account,no verified account,no verified account,no verified account,477
Pablo Lima,BRA,6090,9,2023,43162,6746,43312,5357,4021,478
Lucas Campagnolo,BRA,1957,17,2023,44432,17803,56706,17896,963,479
Javier Garrido,ESP,6090,17,2023,75550,15210,52443,10279,4502,480
Lucas Campagnolo,BRA,1957,17,2023,44432,17803,56706,17896,963,481
Javier Garrido,ESP,6090,17,2023,75550,15210,52443,10279,4502,482
Lucas Campagnolo,BRA,1957,17,2023,44432,17803,56706,17896,963,483
Javier Garrido,ESP,6090,17,2023,75550,15210,52443,10279,4502,484
Lucas Campagnolo,BRA,3093,17,2023,44432,17803,56706,17896,963,485
Javier Garrido,ESP,3093,17,2023,75550,15210,52443,10279,4502,486
Lucas Campagnolo,BRA,3093,17,2023,44432,17803,56706,17896,963,487
Javier Garrido,ESP,3093,17,2023,75550,15210,52443,10279,4502,488
Lucas Campagnolo,BRA,3093,17,2023,44432,17803,56706,17896,963,489
Javier Garrido,ESP,3093,17,2023,75550,15210,52443,10279,4502,490
Lucas Campagnolo,BRA,3093,17,2023,44432,17803,56706,17896,963,491
Javier Garrido,ESP,3093,17,2023,75550,15210,52443,10279,4502,492
Lucas Campagnolo,BRA,3093,17,2023,44432,17803,56706,17896,963,493
Javier Garrido,ESP,3093,17,2023,75550,15210,52443,10279,4502,494
Lucas Campagnolo,BRA,2345,17,2023,44432,17803,56706,17896,963,495
Javier Garrido,ESP,2963,17,2023,75550,15210,52443,10279,4502,496
Lucas Bergamini,BRA,2345,19,2023,55187,11271,13687,20070,2808,497
Victor Ruiz,ESP,2963,19,2023,50601,5589,27868,12192,2260,498
Lucas Bergamini,BRA,2345,19,2023,55187,11271,13687,20070,2808,499
Victor Ruiz,ESP,2963,19,2023,50601,5589,27868,12192,2260,500
Lucas Bergamini,BRA,2345,19,2023,55187,11271,13687,20070,2808,501
Victor Ruiz,ESP,2963,19,2023,50601,5589,27868,12192,2260,502
Lucas Bergamini,BRA,2340,19,2023,55187,11271,13687,20070,2808,503
Victor Ruiz,ESP,2620,19,2023,50601,5589,27868,12192,2260,504
Jon Sanz,ESP,2340,18,2023,30788,23021,12181,20259,3607,505
Jorge Nieto Ruiz,ESP,2620,18,2023,no verified account,no verified account,no verified account,no verified account,no verified account,506
Jon Sanz,ESP,2340,18,2023,30788,23021,12181,20259,3607,507
Jorge Nieto Ruiz,ESP,2620,18,2023,no verified account,no verified account,no verified account,no verified account,no verified account,508
Jon Sanz,ESP,2340,18,2023,30788,23021,12181,20259,3607,509
Jorge Nieto Ruiz,ESP,2620,18,2023,no verified account,no verified account,no verified account,no verified account,no verified account,510
Jon Sanz,ESP,1957,18,2023,30788,23021,12181,20259,3607,511
Jorge Nieto Ruiz,ESP,2680,18,2023,no verified account,no verified account,no verified account,no verified account,no verified account,512
Alejandro Arroyo,ESP,1957,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,513
Gonzalo Rubio,ESP,2680,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,514
Alejandro Arroyo,ESP,1957,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,515
Gonzalo Rubio,ESP,2680,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,516
Alejandro Arroyo,ESP,1957,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,517
Gonzalo Rubio,ESP,2680,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,518
Alejandro Arroyo,ESP,2030,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,519
Gonzalo Rubio,ESP,2088,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,520
Alejandro Arroyo,ESP,2030,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,521
Gonzalo Rubio,ESP,2088,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,522
Alejandro Arroyo,ESP,2030,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,523
Gonzalo Rubio,ESP,2088,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,524
Alejandro Arroyo,ESP,2030,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,525
Gonzalo Rubio,ESP,2088,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,526
Alejandro Arroyo,ESP,2030,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,527
Gonzalo Rubio,ESP,2088,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,528
Alejandro Arroyo,ESP,1845,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,529
Gonzalo Rubio,ESP,1835,27,2023,no verified account,no verified account,no verified account,no verified account,no verified account,530
Juan Cruz Belluati,ARG,1845,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,531
Javier Ruiz Gonzalez,ESP,1835,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,532
Juan Cruz Belluati,ARG,1845,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,533
Javier Ruiz Gonzalez,ESP,1835,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,534
Juan Cruz Belluati,ARG,1845,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,535
Javier Ruiz Gonzalez,ESP,1835,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,536
Juan Cruz Belluati,ARG,1660,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,537
Javier Ruiz Gonzalez,ESP,1430,32,2023,no verified account,no verified account,no verified account,no verified account,no verified account,538
Jose Rico,ESP,1660,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,539
Agustin Gutierrez,ARG,1430,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,540
Jose Rico,ESP,1660,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,541
Agustin Gutierrez,ARG,1430,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,542
Jose Rico,ESP,1660,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,543
Agustin Gutierrez,ARG,1430,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,544
Jose Rico,ESP,1100,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,545
Agustin Gutierrez,ARG,1510,31,2023,no verified account,no verified account,no verified account,no verified account,no verified account,546
Jose Antonio Diestro,ESP,1100,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,547
Javier Leal,ESP,1510,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,548
Jose Antonio Diestro,ESP,1100,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,549
Javier Leal,ESP,1510,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,550
Jose Antonio Diestro,ESP,1100,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,551
Javier Leal,ESP,1510,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,552
Jose Antonio Diestro,ESP,1205,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,553
Javier Leal,ESP,1238,34,2023,no verified account,no verified account,no verified account,no verified account,no verified account,554
Miguel Semmler,ESP,1205,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,555
Ignacio Sager,ESP,898,52,2023,72116,6677,7486,8578,1199,1258
Pablo LijÃ³ Santos,ESP,1238,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,556
Miguel Semmler,ESP,1205,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,557
Pablo LijÃ³ Santos,ESP,1238,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,558
Miguel Semmler,ESP,1205,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,559
Pablo LijÃ³ Santos,ESP,1238,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,560
Miguel Semmler,ESP,756,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,561
Pablo LijÃ³ Santos,ESP,1354,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,562
Miguel Semmler,ESP,756,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,563
Pablo LijÃ³ Santos,ESP,1354,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,564
Miguel Semmler,ESP,756,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,565
Pablo LijÃ³ Santos,ESP,1354,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,566
Miguel Semmler,ESP,756,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,567
Pablo LijÃ³ Santos,ESP,1354,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,568
Miguel Semmler,ESP,756,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,569
Pablo LijÃ³ Santos,ESP,1354,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,570
Miguel Semmler,ESP,961,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,571
Pablo LijÃ³ Santos,ESP,1138,37,2023,no verified account,no verified account,no verified account,no verified account,no verified account,572
Miguel Lamperti,ARG,961,41,2023,33437,24525,9030,9827,4717,573
Denis Tomas Perino,ITA,1138,41,2023,no verified account,no verified account,no verified account,no verified account,no verified account,574
Miguel Lamperti,ARG,961,41,2023,33437,24525,9030,9827,4717,575
Denis Tomas Perino,ITA,1138,41,2023,no verified account,no verified account,no verified account,no verified account,no verified account,576
Miguel Lamperti,ARG,961,41,2023,33437,24525,9030,9827,4717,577
Denis Tomas Perino,ITA,1138,41,2023,no verified account,no verified account,no verified account,no verified account,no verified account,578
Miguel Lamperti,ARG,905,41,2023,33437,24525,9030,9827,4717,579
Denis Tomas Perino,ITA,1015,41,2023,no verified account,no verified account,no verified account,no verified account,no verified account,580
Antonio Fernandez,ESP,905,94,2023,no verified account,no verified account,no verified account,no verified account,no verified account,581
Pablo Cardona,ESP,1015,94,2023,58864,17602,5412,8145,2184,582
Antonio Fernandez,ESP,905,94,2023,no verified account,no verified account,no verified account,no verified account,no verified account,583
Pablo Cardona,ESP,1015,94,2023,58864,17602,5412,8145,2184,584
Antonio Fernandez,ESP,905,94,2023,no verified account,no verified account,no verified account,no verified account,no verified account,585
Pablo Cardona,ESP,1015,94,2023,58864,17602,5412,8145,2184,586
Antonio Fernandez,ESP,1208,94,2023,no verified account,no verified account,no verified account,no verified account,no verified account,587
Pablo Cardona,ESP,492,94,2023,58864,17602,5412,8145,2184,588
Eduardo Alonso,ESP,1208,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,589
Juanlu Esbri,ESP,492,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,590
Eduardo Alonso,ESP,1208,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,591
Juanlu Esbri,ESP,492,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,592
Eduardo Alonso,ESP,885,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,593
Juanlu Esbri,ESP,783,57,2023,no verified account,no verified account,no verified account,no verified account,no verified account,594
Facundo Dominguez,ITA,885,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,595
Alvaro Cepero,ESP,783,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,596
Facundo Dominguez,ITA,885,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,597
Alvaro Cepero,ESP,783,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,598
Facundo Dominguez,ITA,1121,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,599
Alvaro Cepero,ESP,520,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,600
Facundo Dominguez,ITA,1121,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,601
Alvaro Cepero,ESP,520,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,602
Facundo Dominguez,ITA,1121,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,603
Alvaro Cepero,ESP,520,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,604
Facundo Dominguez,ITA,1121,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,605
Alvaro Cepero,ESP,520,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,606
Facundo Dominguez,ITA,658,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,607
Alvaro Cepero,ESP,976,43,2023,no verified account,no verified account,no verified account,no verified account,no verified account,608
Ignacio VillariÃ±o Gestoso,ESP,658,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,609
Salva Oria,ESP,976,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,610
Ignacio VillariÃ±o Gestoso,ESP,722,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,611
Salva Oria,ESP,898,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,612
Ignacio VillariÃ±o Gestoso,ESP,722,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,613
Salva Oria,ESP,898,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,614
Ignacio VillariÃ±o Gestoso,ESP,722,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,615
Salva Oria,ESP,898,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,616
Ignacio VillariÃ±o Gestoso,ESP,722,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,617
Salva Oria,ESP,898,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,618
Ignacio VillariÃ±o Gestoso,ESP,1553,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,619
Salva Oria,ESP,46,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,620
Ignacio VillariÃ±o Gestoso,ESP,1553,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,621
Salva Oria,ESP,46,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,622
Ignacio VillariÃ±o Gestoso,ESP,1553,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,623
Salva Oria,ESP,46,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,624
Ignacio VillariÃ±o Gestoso,ESP,1553,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,625
Salva Oria,ESP,46,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,626
Ignacio VillariÃ±o Gestoso,ESP,925,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,627
Salva Oria,ESP,641,76,2023,no verified account,no verified account,no verified account,no verified account,no verified account,628
Diego Gil,ESP,925,52,2023,no verified account,no verified account,no verified account,no verified account,no verified account,629
Ignacio Sager,ESP,641,52,2023,72116,6677,7486,8578,1199,630
Diego Gil,ESP,925,52,2023,no verified account,no verified account,no verified account,no verified account,no verified account,631
Ignacio Sager,ESP,641,52,2023,72116,6677,7486,8578,1199,632
Diego Gil,ESP,741,52,2023,no verified account,no verified account,no verified account,no verified account,no verified account,633
Ignacio Sager,ESP,797,52,2023,72116,6677,7486,8578,1199,634
Benjamin Tison,FRA,741,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,635
Victor Manuel Mena,ESP,797,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,636
Benjamin Tison,FRA,741,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,637
Victor Manuel Mena,ESP,797,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,638
Benjamin Tison,FRA,778,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,639
Victor Manuel Mena,ESP,711,66,2023,no verified account,no verified account,no verified account,no verified account,no verified account,640
Anton Sans,ESP,778,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,641
Teodoro Zapata,ESP,711,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,642
Anton Sans,ESP,778,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,643
Teodoro Zapata,ESP,711,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,644
Anton Sans,ESP,700,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,645
Teodoro Zapata,ESP,744,63,2023,no verified account,no verified account,no verified account,no verified account,no verified account,646
Javier Martinez,ESP,700,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,647
Jorge Ruiz,ESP,744,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,648
Javier Martinez,ESP,700,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,649
Jorge Ruiz,ESP,744,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,650
Javier Martinez,ESP,429,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,651
Jorge Ruiz,ESP,1014,42,2023,no verified account,no verified account,no verified account,no verified account,no verified account,652
Toni Bueno,ESP,429,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,653
Rafael Mendez,ESP,1014,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,654
Toni Bueno,ESP,429,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,655
Rafael Mendez,ESP,1014,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,656
Toni Bueno,ESP,809,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,657
Rafael Mendez,ESP,624,78,2023,no verified account,no verified account,no verified account,no verified account,no verified account,658
Mario Del Castillo,ESP,809,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,659
Miguel Benitez Lara,ESP,624,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,660
Mario Del Castillo,ESP,809,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,661
Miguel Benitez Lara,ESP,624,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,662
Mario Del Castillo,ESP,756,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,663
Miguel Benitez Lara,ESP,648,73,2023,no verified account,no verified account,no verified account,no verified account,no verified account,664
Mario Ortega,ESP,756,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,665
Carlos Marti,ESP,648,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,666
Mario Ortega,ESP,756,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,667
Carlos Marti,ESP,648,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,668
Mario Ortega,ESP,744,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,669
Carlos Marti,ESP,568,83,2023,no verified account,no verified account,no verified account,no verified account,no verified account,670
Sergio Icardo,ESP,744,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,671
Sergio Alba SÃ¡nchez,ESP,568,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,672
Sergio Icardo,ESP,744,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,673
Sergio Alba SÃ¡nchez,ESP,568,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,674
Sergio Icardo,ESP,491,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,675
Sergio Alba SÃ¡nchez,ESP,799,55,2023,no verified account,no verified account,no verified account,no verified account,no verified account,676
Cristian Gutierrez,ARG,491,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,677
Mario Huete Hernandez,ESP,799,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,678
Cristian Gutierrez,ARG,491,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,679
Mario Huete Hernandez,ESP,799,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,680
Cristian Gutierrez,ARG,822,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,681
Mario Huete Hernandez,ESP,440,02,2023,no verified account,no verified account,no verified account,no verified account,no verified account,682
Jose Luis Gonzalez,ESP,822,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,683
Antonio Luque,ESP,440,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,684
Jose Luis Gonzalez,ESP,822,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,685
Antonio Luque,ESP,440,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,686
Jose Luis Gonzalez,ESP,544,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,687
Antonio Luque,ESP,693,69,2023,no verified account,no verified account,no verified account,no verified account,no verified account,688
Miguel Gonzalez,ESP,544,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,689
Miguel Angel Solbes,ESP,693,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,690
Miguel Gonzalez,ESP,544,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,691
Miguel Angel Solbes,ESP,693,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,692
Miguel Gonzalez,ESP,528,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,693
Miguel Angel Solbes,ESP,675,70,2023,no verified account,no verified account,no verified account,no verified account,no verified account,694
Aitor Garcia Bassas,ESP,528,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,695
Pedro Vera,ESP,675,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,696
Aitor Garcia Bassas,ESP,528,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,697
Pedro Vera,ESP,675,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,698
Aitor Garcia Bassas,ESP,699,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,699
Pedro Vera,ESP,456,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,700
Aitor Garcia Bassas,ESP,699,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,701
Pedro Vera,ESP,456,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,702
Aitor Garcia Bassas,ESP,699,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,703
Pedro Vera,ESP,456,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,704
Aitor Garcia Bassas,ESP,699,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,705
Pedro Vera,ESP,456,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,706
Aitor Garcia Bassas,ESP,562,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,707
Pedro Vera,ESP,579,82,2023,no verified account,no verified account,no verified account,no verified account,no verified account,708
Ruben Rivera,ESP,562,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,709
Adria Mercadal,ESP,579,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,710
Ruben Rivera,ESP,562,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,711
Adria Mercadal,ESP,579,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,712
Ruben Rivera,ESP,594,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,713
Adria Mercadal,ESP,544,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,714
Ruben Rivera,ESP,594,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,715
Adria Mercadal,ESP,544,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,716
Ruben Rivera,ESP,594,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,717
Adria Mercadal,ESP,544,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,718
Ruben Rivera,ESP,774,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,719
Adria Mercadal,ESP,328,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,720
Ruben Rivera,ESP,774,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,721
Adria Mercadal,ESP,328,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,722
Ruben Rivera,ESP,774,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,723
Adria Mercadal,ESP,328,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,724
Ruben Rivera,ESP,774,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,725
Adria Mercadal,ESP,328,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,726
Ruben Rivera,ESP,644,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,727
Adria Mercadal,ESP,454,91,2023,no verified account,no verified account,no verified account,no verified account,no verified account,728
Jeremy Scatena,FRA,644,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,729
Fran Ramirez Navas,ESP,454,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,730
Jeremy Scatena,FRA,644,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,731
Fran Ramirez Navas,ESP,454,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,732
Jeremy Scatena,FRA,478,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,733
Fran Ramirez Navas,ESP,582,81,2023,no verified account,no verified account,no verified account,no verified account,no verified account,734
Simone Cremona,ITA,478,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,735
Marco Cassetta,ITA,582,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,736
Simone Cremona,ITA,478,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,737
Marco Cassetta,ITA,582,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,738
Simone Cremona,ITA,369,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,739
Marco Cassetta,ITA,397,09,2023,no verified account,no verified account,no verified account,no verified account,no verified account,740
Riccardo Sinicropi,ITA,369,74,2023,no verified account,no verified account,no verified account,no verified account,no verified account,741
Giulio Graziotti,ITA,397,74,2023,no verified account,no verified account,no verified account,no verified account,no verified account,742
Riccardo Sinicropi,ITA,369,74,2023,no verified account,no verified account,no verified account,no verified account,no verified account,743
